Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
194,University of Birmingham ,5.0,19,122,2,0,5,3,1,0,0,3,0,0,1,0.0
194,University of Technology Sydney ,5.0,21,150,3,0,0,10,2,2,0,1,0,1,1,0.0
199,University of Manchester ,4.9,17,50,0,1,1,3,0,0,0,0,0,0,0,0.0
200,University of Texas at Arlington ,4.8,13,116,1,0,3,1,0,2,1,0,0,0,0,0.0
201,Stevens Institute of Technology ,4.7,8,73,2,1,3,4,0,0,0,1,0,0,0,0.0
201,University of Houston ,4.7,11,74,0,2,3,3,0,0,0,0,0,0,0,0.0
203,Carleton University ,4.5,7,49,0,0,0,2,0,1,1,0,0,0,0,0.0
203,King's College London ,4.5,21,104,1,1,2,12,1,0,0,1,0,0,0,0.0
203,Tulane University ,4.5,7,100,1,0,2,4,0,0,0,1,0,0,0,0.0
203,University of Connecticut ,4.5,12,66,3,1,0,2,0,0,4,1,0,1,0,0.0
207,Brandeis University ,4.4,8,64,1,1,1,2,0,0,0,0,0,0,0,0.0
207,IT University of Copenhagen ,4.4,13,58,1,5,1,2,0,0,0,0,0,0,1,0.0
207,National Tsing Hua University ,4.4,13,67,2,0,5,1,1,0,0,0,0,1,0,0.0
210,AUEB ,4.3,5,73,1,2,0,2,0,0,0,0,0,0,0,0.0
210,University of Hannover ,4.3,8,71,1,0,3,3,0,0,0,0,0,0,0,0.0
212,Shenzhen University ,4.2,31,104,1,1,11,8,0,1,1,0,0,1,1,0.0
212,University of South Carolina ,4.2,10,84,0,1,2,3,0,0,0,1,0,0,0,0.0
212,University of York ,4.2,9,88,0,1,4,2,0,0,0,0,0,0,0,0.0
212,Université Laval ,4.2,12,93,2,0,2,4,0,0,0,2,0,0,0,0.0
212,Wuhan University ,4.2,7,41,0,1,1,2,0,0,1,0,0,0,0,0.0
217,Lehigh University ,4.1,9,54,0,0,1,4,0,0,0,1,0,0,0,0.0
217,North Carolina State University ,4.1,24,71,0,0,0,6,0,0,3,0,0,0,1,0.0
217,Rensselaer Polytechnic Institute ,4.1,9,95,3,0,0,6,0,0,0,0,0,0,0,0.0
217,University of Potsdam ,4.1,5,69,2,3,0,1,0,0,0,0,0,0,0,0.0
221,Iowa State University ,4.0,13,68,3,1,0,6,0,1,0,1,0,0,2,0.0
221,University of Würzburg ,4.0,5,87,0,1,1,0,0,0,0,0,0,0,0,0.0
223,DTU ,3.9,15,91,7,0,5,2,1,0,0,0,0,0,0,0.0
223,Université Jean Monnet ,3.9,10,63,3,2,3,2,0,0,0,0,0,0,0,0.0
225,Case Western Reserve University ,3.8,7,38,1,1,0,2,0,1,0,0,0,0,0,0.0
225,Goethe University Frankfurt ,3.8,9,74,0,2,3,1,0,0,0,1,0,0,0,0.0
225,Hasso Plattner Institute ,3.8,6,63,1,1,0,2,0,1,0,0,0,0,0,0.0
