Rank,University Name,Mean,Faculty
458,University of New Mexico ,1.3,4
458,University of Newcastle ,1.3,1
458,University of Oklahoma ,1.3,2
458,University of Texas at San Antonio ,1.3,5
458,University of Trier ,1.3,2
458,University of Wisconsin - Milwaukee ,1.3,3
458,Université libre de Bruxelles ,1.3,3
458,Utah State University ,1.3,3
483,Aberystwyth University ,1.2,3
483,Augusta University ,1.2,2
483,Baylor University ,1.2,1
483,Brno University of Technology ,1.2,1
483,Brunel University London ,1.2,2
483,East China Normal University ,1.2,3
483,Florida Institute of Technology ,1.2,1
483,IPM ,1.2,1
483,Izmir Institute of Technology ,1.2,1
483,Kyung Hee University ,1.2,2
483,Missouri S&T ,1.2,2
483,Nova Southeastern University ,1.2,1
483,Ohio University ,1.2,3
483,Oklahoma State University ,1.2,3
483,Polytechnic University of Catalonia ,1.2,2
483,Royal Military College of Canada ,1.2,1
483,TOBB ETÜ ,1.2,2
483,UNC - Greensboro ,1.2,1
483,University at Albany - SUNY ,1.2,2
483,University of Alabama - Birmingham ,1.2,2
483,University of Bamberg ,1.2,3
483,University of Buenos Aires ,1.2,2
483,University of Cologne ,1.2,1
483,University of Hawaii at Manoa ,1.2,3
483,University of Kassel ,1.2,2
483,University of Malaya ,1.2,1
483,University of Malta ,1.2,1
483,University of Michigan-Dearborn ,1.2,3
483,University of Murcia ,1.2,2
483,University of Oldenburg ,1.2,1
513,American University of Beirut ,1.1,2
513,BITS Pilani-Goa ,1.1,1
513,BUET ,1.1,3
513,Brock University ,1.1,1
513,Bundeswehr University Munich ,1.1,1
513,CMI ,1.1,2
513,De La Salle University ,1.1,2
513,Goldsmiths University of London ,1.1,2
513,Hamburg University of Technology ,1.1,2
513,IIT Mandi ,1.1,1
513,IIT Roorkee ,1.1,2
513,IMDEA Software Institute ,1.1,3
513,IUST ,1.1,1
513,KMUTNB ,1.1,1
513,Louisiana State University ,1.1,3
513,Missouri University of Technology ,1.1,2
513,Mälardalen University ,1.1,1
513,National Institute of Technology Silchar ,1.1,1
513,Northern Arizona University ,1.1,2
513,Stellenbosch University ,1.1,2
513,TU Chemnitz ,1.1,1
513,TU Ilmenau ,1.1,3
513,The Catholic University of Korea ,1.1,1
513,UFF ,1.1,1
513,Universidad Rey Juan Carlos ,1.1,1
513,Universidad de Zaragoza ,1.1,3
513,Universidade de Brasília ,1.1,1
513,University of Augsburg ,1.1,1
513,University of Bayreuth ,1.1,1
513,University of Canterbury ,1.1,2
513,University of Cincinnati ,1.1,2
513,University of Kent ,1.1,2
513,University of Missouri - Kansas City ,1.1,2
513,University of Münster ,1.1,2
513,University of Osnabrück ,1.1,1
513,University of Otago ,1.1,2
513,University of Piraeus ,1.1,1
513,University of Rostock ,1.1,2
513,University of Saskatchewan ,1.1,2
513,University of Vermont ,1.1,3
513,University of Wuppertal ,1.1,1
554,Chulalongkorn University ,1.0,1
554,IIT Goa ,1.0,1
554,IIT Indore ,1.0,1
554,JUST ,1.0,1
554,Montana State University ,1.0,1
554,New Mexico Tech ,1.0,1
554,University of Colorado - Denver ,1.0,1
554,University of Denver ,1.0,1
554,University of New Orleans ,1.0,1
554,Western Michigan University ,1.0,1
